.exe	ドットエグゼ
Profiling	プロファイリング
Benchmark	ベンチマーク
Performance	パフォーマンス
Optimization	オプティマイゼーション
Scaling	スケーリング
Sharding	シャーディング
Replication	レプリケーション
Failover	フェイルオーバー
Load Balancer	ロードバランサー
Scheduler	スケジューラー
Orchestrator	オーケストレーター
Compiler	コンパイラー
Transpiler	トランスパイラー
Bundler	バンドラー
Minifier	ミニファイアー
Formatting	フォーマッティング
Snapshot	スナップショット
Assertion	アサーション
Mocking	モッキング
Stubbing	スタビング
Fixture	フィクスチャー
Playground	プレイグラウンド
Setup	セットアップ
Teardown	テアダウン
Cleanup	クリーンアップ
Downgrade	ダウングレード
Deprecate	デプリケート
